Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Moisture Percentage,Total Cup Points,Grade
8.58,8.5,8.42,8.58,8.25,8.42,10.0,10.0,10.0,11.8,89.33,A
8.5,8.5,7.92,8.0,7.92,8.25,10.0,10.0,10.0,10.5,87.58,A
8.33,8.42,8.08,8.17,7.92,8.17,10.0,10.0,10.0,10.4,87.42,A
8.08,8.17,8.17,8.25,8.17,8.08,10.0,10.0,10.0,11.8,87.17,A
8.33,8.33,8.08,8.25,7.92,7.92,10.0,10.0,10.0,11.6,87.08,A
8.33,8.33,8.25,7.83,7.83,8.17,10.0,10.0,10.0,10.7,87.0,A
8.33,8.17,8.08,8.0,7.83,8.25,10.0,10.0,10.0,9.1,86.92,A
8.25,8.25,8.17,8.0,7.92,8.08,10.0,10.0,10.0,10.0,86.75,A
8.08,8.08,8.25,8.08,7.92,8.0,10.0,10.0,10.0,10.8,86.67,A
8.08,8.17,8.08,8.17,8.0,8.0,10.0,10.0,10.0,11.0,86.5,A
8.08,8.25,8.0,8.08,7.92,7.92,10.0,10.0,10.0,11.8,86.25,A
8.08,8.0,8.0,7.75,8.25,8.17,10.0,10.0,10.0,11.5,86.25,A
8.08,8.0,8.08,8.08,8.0,8.0,10.0,10.0,10.0,11.9,86.25,A
7.67,8.17,8.0,8.33,8.0,8.0,10.0,10.0,10.0,11.6,86.17,A
8.08,8.0,8.08,7.92,8.08,8.0,10.0,10.0,10.0,10.6,86.17,A
8.17,8.08,8.0,7.92,8.0,7.92,10.0,10.0,10.0,10.2,86.08,A
8.17,8.08,7.92,8.17,7.75,7.92,10.0,10.0,10.0,11.3,86.08,A
8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,10.3,86.08,A
8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,11.0,85.92,A
8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,10.0,85.83,A
8.0,7.92,8.08,7.92,7.75,8.0,10.0,10.0,10.0,11.6,85.75,A
8.08,8.0,7.92,7.92,8.0,7.83,10.0,10.0,10.0,10.4,85.67,A
7.67,8.0,7.83,8.0,8.08,8.0,10.0,10.0,10.0,9.8,85.67,A
8.08,8.0,7.83,8.17,7.75,7.83,10.0,10.0,10.0,11.3,85.67,A
7.83,8.0,7.92,8.0,8.0,7.92,10.0,10.0,10.0,10.6,85.58,A
7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,11.3,85.5,A
7.92,7.92,8.0,7.92,7.83,7.92,10.0,10.0,10.0,9.1,85.5,A
8.17,8.08,7.92,8.0,7.58,7.83,10.0,10.0,10.0,10.6,85.5,A
8.0,8.0,8.0,7.92,7.75,7.92,10.0,10.0,10.0,10.2,85.5,A
8.0,7.92,8.0,7.83,7.67,8.0,10.0,10.0,10.0,9.3,85.42,A
8.0,8.0,7.83,7.83,7.75,7.92,10.0,10.0,10.0,11.4,85.42,A
7.92,8.0,7.83,7.92,7.83,7.83,10.0,10.0,10.0,10.8,85.33,A
8.08,8.17,7.67,7.83,7.67,7.92,10.0,10.0,10.0,11.3,85.33,A
7.67,7.83,7.83,8.0,8.0,8.0,10.0,10.0,10.0,9.9,85.33,A
8.0,8.08,8.0,8.0,7.67,7.75,10.0,10.0,10.0,12.3,85.33,A
7.92,7.75,7.83,8.17,8.0,7.75,10.0,10.0,10.0,9.4,85.25,A
8.0,7.92,7.83,7.92,7.83,7.83,10.0,10.0,10.0,9.5,85.25,A
8.25,8.08,7.83,7.75,7.67,7.75,10.0,10.0,10.0,11.3,85.25,A
8.17,7.75,7.83,7.58,7.92,8.0,10.0,10.0,10.0,9.2,85.25,A
7.75,7.92,7.75,8.0,7.83,7.92,10.0,10.0,10.0,10.3,85.17,A
8.0,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,10.0,85.08,A
8.0,8.08,7.67,7.75,7.92,7.83,10.0,10.0,10.0,10.5,85.08,A
8.0,7.92,7.67,8.0,7.75,7.83,10.0,10.0,10.0,10.0,85.08,A
8.0,7.92,7.75,7.75,7.75,7.92,10.0,10.0,10.0,11.0,85.0,A
7.92,8.0,7.92,8.0,7.58,7.75,10.0,10.0,10.0,10.9,85.0,A
8.17,8.08,7.83,7.67,7.67,7.75,10.0,10.0,10.0,10.1,85.0,A
7.67,8.08,7.67,8.0,7.92,7.83,10.0,10.0,10.0,9.9,85.0,A
7.67,8.0,7.75,7.92,8.0,7.83,10.0,10.0,10.0,11.3,85.0,A
7.83,7.92,7.75,8.0,7.75,7.75,10.0,10.0,10.0,11.7,84.92,B
7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,9.5,84.92,B
8.0,8.0,7.75,7.75,7.67,7.75,10.0,10.0,10.0,9.7,84.83,B
7.83,7.92,7.75,7.83,7.83,7.83,10.0,10.0,10.0,11.9,84.83,B
8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,10.7,84.83,B
7.92,7.75,7.75,7.92,7.83,7.83,10.0,10.0,10.0,11.2,84.83,B
7.83,7.83,7.67,7.67,7.83,8.0,10.0,10.0,10.0,9.5,84.83,B
7.67,7.92,7.92,7.83,7.75,7.83,10.0,10.0,10.0,10.4,84.75,B
7.83,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,11.2,84.75,B
7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,10.3,84.75,B
7.92,8.08,7.67,7.92,7.67,7.75,10.0,10.0,10.0,10.0,84.75,B
7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,10.6,84.67,B
7.83,8.0,7.67,7.83,7.75,7.75,10.0,10.0,10.0,10.9,84.67,B
7.58,7.83,7.5,7.67,7.83,7.67,10.0,10.0,10.0,10.0,84.67,B
7.83,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,9.6,84.58,B
8.17,7.83,7.67,7.83,7.67,7.67,10.0,10.0,10.0,11.5,84.58,B
7.92,7.75,7.67,7.67,7.83,7.75,10.0,10.0,10.0,9.9,84.58,B
8.08,7.83,7.67,7.67,7.67,7.75,10.0,10.0,10.0,11.2,84.58,B
7.83,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,10.3,84.58,B
8.0,7.83,7.75,7.67,7.58,7.83,10.0,10.0,10.0,11.6,84.58,B
7.75,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,11.7,84.5,B
7.75,7.92,7.83,7.75,7.75,7.75,10.0,10.0,10.0,11.3,84.5,B
7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,9.8,84.5,B
7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,10.9,84.5,B
8.08,7.92,7.75,7.83,7.5,7.58,10.0,10.0,10.0,10.2,84.5,B
7.83,8.0,7.5,7.75,7.75,7.75,10.0,10.0,10.0,10.1,84.42,B
7.67,7.83,7.75,7.75,7.83,7.75,10.0,10.0,10.0,9.2,84.33,B
7.92,7.83,7.75,7.92,7.5,7.67,10.0,10.0,10.0,10.1,84.33,B
7.83,7.75,7.58,7.92,8.0,7.5,10.0,10.0,10.0,11.0,84.33,B
7.83,7.83,7.83,7.83,7.67,7.67,10.0,10.0,10.0,10.3,84.33,B
7.75,7.75,7.75,7.75,7.83,7.67,10.0,10.0,10.0,11.6,84.33,B
7.67,7.67,7.83,7.83,7.67,7.75,10.0,10.0,10.0,11.5,84.25,B
7.58,7.92,7.67,7.75,7.83,7.75,10.0,10.0,10.0,10.0,84.25,B
7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,12.1,84.25,B
7.75,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,10.2,84.17,B
7.58,7.92,7.58,7.83,7.75,7.67,10.0,10.0,10.0,11.0,84.08,B
7.83,7.92,7.83,7.58,7.58,7.67,10.0,10.0,10.0,10.8,84.08,B
7.92,7.75,7.67,7.75,7.75,8.0,9.33,10.0,10.0,10.6,84.08,B
7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,11.0,84.08,B
7.67,7.92,7.67,7.75,7.67,7.58,10.0,10.0,10.0,11.0,84.0,B
7.75,7.75,7.75,7.67,7.75,7.67,10.0,10.0,10.0,9.4,84.0,B
7.58,7.67,7.75,7.75,7.75,7.75,10.0,10.0,10.0,9.8,84.0,B
8.0,7.75,7.5,7.67,7.67,7.67,10.0,10.0,10.0,11.3,84.0,B
7.75,7.58,7.58,7.92,7.67,7.75,10.0,10.0,10.0,11.6,84.0,B
7.67,7.83,7.58,7.92,7.67,7.67,10.0,10.0,10.0,13.3,84.0,B
7.67,7.92,7.58,7.75,7.67,7.58,10.0,10.0,10.0,9.5,83.92,B
7.83,7.83,7.58,7.67,7.67,7.58,10.0,10.0,10.0,11.9,83.92,B
7.58,7.83,7.58,7.75,7.67,7.75,10.0,10.0,10.0,10.0,83.92,B
7.75,7.67,7.58,7.75,7.75,7.67,10.0,10.0,10.0,11.6,83.92,B
7.67,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,11.9,83.83,B
7.58,7.83,7.67,7.67,7.67,7.67,10.0,10.0,10.0,10.8,83.83,B
7.58,7.92,7.5,7.67,7.75,7.67,10.0,10.0,10.0,10.9,83.83,B
7.83,7.67,7.5,7.92,7.5,7.67,10.0,10.0,10.0,12.0,83.83,B
7.92,7.75,7.42,7.58,7.92,7.67,10.0,10.0,10.0,12.1,83.83,B
7.67,7.92,7.58,7.58,7.58,7.75,10.0,10.0,10.0,11.8,83.83,B
7.67,7.92,7.67,7.58,7.67,7.67,10.0,10.0,10.0,10.6,83.75,B
7.67,7.67,7.58,7.67,7.83,7.58,10.0,10.0,10.0,11.7,83.75,B
7.83,7.75,7.5,7.58,7.67,7.67,10.0,10.0,10.0,12.4,83.67,B
7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,10.0,83.67,B
7.83,7.83,7.67,7.58,7.58,7.58,10.0,10.0,10.0,10.2,83.67,B
7.58,7.75,7.67,7.83,7.5,7.67,10.0,10.0,10.0,9.2,83.67,B
7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,11.1,83.67,B
7.58,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,8.4,83.58,B
7.58,7.75,7.58,7.75,7.58,7.67,10.0,10.0,10.0,9.1,83.58,B
7.58,7.83,7.58,7.67,7.58,7.58,10.0,10.0,10.0,10.9,83.58,B
7.75,7.67,7.58,7.58,7.58,7.67,10.0,10.0,10.0,11.2,83.5,B
7.75,7.75,7.5,7.58,7.83,7.5,10.0,10.0,10.0,12.2,83.5,B
7.42,7.83,7.58,7.67,7.67,7.75,10.0,10.0,10.0,13.1,83.5,B
7.42,7.42,7.42,8.0,7.92,7.67,10.0,10.0,10.0,10.4,83.5,B
7.67,7.67,7.5,7.67,7.58,7.67,10.0,10.0,10.0,11.6,83.42,B
7.75,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,10.1,83.42,B
7.75,7.92,7.67,7.92,7.75,7.83,8.67,10.0,10.0,10.1,83.42,B
7.75,7.67,7.58,7.5,7.67,7.5,10.0,10.0,10.0,11.1,83.33,B
7.58,7.67,7.5,7.75,7.5,7.58,10.0,10.0,10.0,9.7,83.33,B
7.5,7.75,7.58,7.75,7.67,7.58,10.0,10.0,10.0,11.4,83.33,B
7.58,7.67,7.58,7.75,7.42,7.58,10.0,10.0,10.0,9.6,83.33,B
7.67,7.67,7.42,7.75,7.5,7.75,10.0,10.0,10.0,13.5,83.33,B
7.58,7.75,7.42,7.67,7.5,7.75,10.0,10.0,10.0,0.0,83.33,B
7.75,7.83,7.58,7.58,7.58,7.5,10.0,10.0,10.0,10.7,83.33,B
7.92,7.92,7.75,7.33,7.58,7.5,10.0,10.0,10.0,12.3,83.33,B
7.92,7.67,7.42,7.5,7.67,7.58,10.0,10.0,10.0,10.4,83.25,B
7.58,7.5,7.5,7.83,7.67,7.5,10.0,10.0,10.0,11.6,83.25,B
7.75,7.75,7.58,7.67,7.42,7.5,10.0,10.0,10.0,9.6,83.25,B
7.67,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,10.9,83.25,B
7.67,7.75,7.67,7.58,7.5,7.58,10.0,10.0,10.0,10.5,83.25,B
7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,11.3,83.25,B
7.75,7.75,7.5,7.75,7.5,7.42,10.0,10.0,10.0,9.7,83.17,B
7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,11.8,83.17,B
7.67,7.75,7.33,7.67,7.58,7.5,10.0,10.0,10.0,11.8,83.08,B
7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,10.6,83.08,B
7.75,7.58,7.58,7.58,7.58,7.5,10.0,10.0,10.0,9.6,83.08,B
8.0,7.67,7.42,7.58,7.58,7.42,10.0,10.0,10.0,13.1,83.0,B
7.5,7.67,7.58,7.58,7.5,7.5,10.0,10.0,10.0,8.9,82.92,B
7.75,7.5,7.42,7.67,7.58,7.5,10.0,10.0,10.0,11.9,82.92,B
7.58,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,11.5,82.92,B
7.67,7.5,7.42,7.75,7.42,7.58,10.0,10.0,10.0,10.2,82.92,B
7.67,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,10.0,82.83,B
7.17,7.92,7.58,7.5,7.58,7.67,10.0,10.0,10.0,11.8,82.83,B
7.58,7.42,7.58,7.5,7.67,7.75,10.0,10.0,10.0,13.3,82.83,B
7.33,7.58,7.25,7.33,7.75,8.17,10.0,10.0,10.0,10.5,82.75,B
7.33,7.5,7.25,7.92,7.75,7.58,10.0,10.0,10.0,11.8,82.75,B
7.58,7.67,7.58,7.5,7.33,7.5,10.0,10.0,10.0,11.8,82.67,B
7.33,7.58,7.58,7.5,7.67,7.67,10.0,10.0,10.0,13.0,82.67,B
7.5,7.58,7.5,7.42,7.5,7.58,10.0,10.0,10.0,11.2,82.67,B
7.67,7.58,7.33,7.5,7.58,7.5,10.0,10.0,10.0,9.6,82.67,B
7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,9.8,82.58,B
7.67,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,8.4,82.58,B
7.5,7.58,7.42,7.58,7.5,7.58,10.0,10.0,10.0,10.1,82.58,B
7.67,7.33,7.17,7.67,7.83,7.5,10.0,10.0,10.0,11.3,82.5,B
7.75,7.67,7.17,7.67,7.42,7.42,10.0,10.0,10.0,10.0,82.5,B
7.5,7.58,7.5,7.5,7.67,7.42,10.0,10.0,10.0,11.8,82.5,B
7.33,7.58,7.5,7.5,7.5,7.58,10.0,10.0,10.0,11.7,82.5,B
7.67,7.42,7.5,7.5,7.67,7.42,10.0,10.0,10.0,10.7,82.5,B
7.58,7.58,7.33,7.5,7.58,7.42,10.0,10.0,10.0,10.6,82.5,B
7.42,7.42,7.58,7.42,7.58,7.5,10.0,10.0,10.0,8.4,82.5,B
7.58,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,11.4,82.42,B
7.5,7.5,7.33,7.5,7.5,7.42,10.0,10.0,10.0,10.5,82.33,B
7.5,7.5,7.42,7.42,7.42,7.67,10.0,10.0,10.0,12.0,82.33,B
7.33,7.67,7.25,7.67,7.83,7.42,10.0,10.0,10.0,11.8,82.33,B
7.67,7.58,7.42,7.5,7.33,7.42,10.0,10.0,10.0,10.8,82.33,B
7.67,7.5,7.33,7.58,7.33,7.42,10.0,10.0,10.0,11.7,82.25,B
7.75,7.42,7.33,7.5,7.33,7.5,10.0,10.0,10.0,10.6,82.17,B
7.5,7.5,7.42,7.5,7.25,7.5,10.0,10.0,10.0,11.2,82.17,B
7.67,7.5,7.25,7.5,7.5,7.33,10.0,10.0,10.0,10.6,82.17,B
7.5,7.67,7.33,7.5,7.25,7.33,10.0,10.0,10.0,9.7,82.08,B
7.33,7.42,7.42,7.5,7.42,7.5,10.0,10.0,10.0,8.1,82.08,B
7.5,7.58,7.42,7.42,7.25,7.42,10.0,10.0,10.0,8.2,82.0,B
7.17,7.5,7.42,7.42,7.58,7.5,10.0,10.0,10.0,9.8,82.0,B
7.42,7.42,7.42,7.33,7.58,7.33,10.0,10.0,10.0,10.5,82.0,B
7.42,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,11.5,82.0,B
7.67,7.33,7.25,7.67,7.42,7.25,10.0,10.0,10.0,12.5,82.0,B
7.5,7.5,7.33,7.5,7.33,7.33,10.0,10.0,10.0,11.6,81.92,B
7.33,7.42,7.33,7.42,7.58,7.42,10.0,10.0,10.0,10.3,81.92,B
7.25,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,11.3,81.83,B
7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,11.2,81.83,B
7.5,7.5,7.42,7.33,7.33,7.33,10.0,10.0,10.0,11.3,81.83,B
7.42,7.5,7.58,7.33,7.33,7.25,10.0,10.0,10.0,11.1,81.75,B
7.33,7.5,7.33,7.42,7.42,7.42,10.0,10.0,10.0,11.2,81.75,B
7.58,7.42,7.25,7.25,7.5,7.33,10.0,10.0,10.0,11.8,81.67,B
7.33,7.42,7.25,7.42,7.42,7.33,10.0,10.0,10.0,9.7,81.58,B
7.42,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,9.0,81.58,B
7.33,7.5,7.42,7.33,7.33,7.25,10.0,10.0,10.0,8.5,81.5,B
7.33,7.42,7.25,7.33,7.5,7.42,10.0,10.0,10.0,11.6,81.42,B
7.42,7.25,7.33,7.42,7.33,7.33,10.0,10.0,10.0,10.5,81.33,B
7.25,7.25,7.42,7.25,7.42,7.42,10.0,10.0,10.0,10.4,81.17,B
7.42,7.25,7.25,7.42,7.17,7.33,10.0,10.0,10.0,11.4,81.17,B
7.42,7.42,7.25,7.25,7.17,7.25,10.0,10.0,10.0,10.6,81.0,B
7.42,7.33,7.33,7.5,7.08,7.0,10.0,10.0,10.0,10.5,80.83,B
7.25,7.25,7.17,7.33,7.08,7.25,10.0,10.0,10.0,11.5,80.5,B
7.42,7.17,7.0,7.08,7.42,7.17,10.0,10.0,10.0,11.2,80.42,B
7.25,7.25,7.17,7.33,7.0,7.17,10.0,10.0,10.0,11.0,80.42,B
7.5,7.25,7.17,7.17,7.17,7.08,10.0,10.0,10.0,11.8,80.33,B
7.08,7.25,7.08,7.42,7.42,7.08,10.0,10.0,10.0,11.5,80.33,B
7.25,7.17,7.17,7.08,7.17,7.17,10.0,10.0,10.0,11.6,80.17,B
7.17,7.17,6.92,7.17,7.42,7.17,10.0,10.0,10.0,11.4,80.08,B
7.33,7.08,6.75,7.17,7.42,7.17,10.0,10.0,10.0,10.4,80.0,B
7.25,7.17,7.08,7.0,7.08,7.08,10.0,10.0,10.0,11.6,79.67,C
6.5,6.75,6.75,7.17,7.08,7.0,10.0,10.0,10.0,11.0,78.08,C
7.25,7.08,6.67,6.83,6.83,6.67,10.0,10.0,10.0,11.3,78.0,C
